epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635761470187,2021-11-01T12.11.10.187,0.000,-0.230,-0.202,-0.947
1635761470227,2021-11-01T12.11.10.227,0.040,-0.231,-0.204,-0.958
1635761470267,2021-11-01T12.11.10.267,0.080,-0.230,-0.205,-0.955
1635761470307,2021-11-01T12.11.10.307,0.120,-0.230,-0.204,-0.953
1635761470347,2021-11-01T12.11.10.347,0.160,-0.230,-0.204,-0.956
1635761470387,2021-11-01T12.11.10.387,0.200,-0.231,-0.204,-0.955
1635761470427,2021-11-01T12.11.10.427,0.240,-0.229,-0.206,-0.955
1635761470467,2021-11-01T12.11.10.467,0.280,-0.230,-0.206,-0.954
1635761470507,2021-11-01T12.11.10.507,0.320,-0.229,-0.204,-0.956
1635761470547,2021-11-01T12.11.10.547,0.360,-0.229,-0.207,-0.953
1635761470587,2021-11-01T12.11.10.587,0.400,-0.230,-0.202,-0.954
1635761470627,2021-11-01T12.11.10.627,0.440,-0.229,-0.209,-0.954
1635761470667,2021-11-01T12.11.10.667,0.480,-0.231,-0.201,-0.955
1635761470707,2021-11-01T12.11.10.707,0.520,-0.231,-0.208,-0.955
1635761470747,2021-11-01T12.11.10.747,0.560,-0.230,-0.204,-0.954
1635761470787,2021-11-01T12.11.10.787,0.600,-0.230,-0.207,-0.953
1635761470827,2021-11-01T12.11.10.827,0.640,-0.227,-0.206,-0.955
1635761470867,2021-11-01T12.11.10.867,0.680,-0.229,-0.202,-0.956
1635761470907,2021-11-01T12.11.10.907,0.720,-0.231,-0.205,-0.952
1635761470947,2021-11-01T12.11.10.947,0.760,-0.229,-0.210,-0.953
1635761470987,2021-11-01T12.11.10.987,0.800,-0.230,-0.203,-0.954
1635761471027,2021-11-01T12.11.11.027,0.840,-0.230,-0.208,-0.952
1635761471067,2021-11-01T12.11.11.067,0.880,-0.229,-0.204,-0.952
1635761471107,2021-11-01T12.11.11.107,0.920,-0.229,-0.204,-0.956
1635761471147,2021-11-01T12.11.11.147,0.960,-0.231,-0.204,-0.954
1635761471187,2021-11-01T12.11.11.187,1.000,-0.228,-0.208,-0.951
1635761471227,2021-11-01T12.11.11.227,1.040,-0.228,-0.203,-0.953
1635761471267,2021-11-01T12.11.11.267,1.080,-0.231,-0.205,-0.952
1635761471307,2021-11-01T12.11.11.307,1.120,-0.230,-0.203,-0.953
1635761471347,2021-11-01T12.11.11.347,1.160,-0.230,-0.204,-0.953
1635761471387,2021-11-01T12.11.11.387,1.200,-0.231,-0.203,-0.952
1635761471427,2021-11-01T12.11.11.427,1.240,-0.230,-0.203,-0.954
1635761471467,2021-11-01T12.11.11.467,1.280,-0.233,-0.202,-0.953
1635761471507,2021-11-01T12.11.11.507,1.320,-0.231,-0.201,-0.954
1635761471547,2021-11-01T12.11.11.547,1.360,-0.233,-0.203,-0.953
1635761471587,2021-11-01T12.11.11.587,1.400,-0.231,-0.202,-0.954
1635761471627,2021-11-01T12.11.11.627,1.440,-0.233,-0.201,-0.953
1635761471667,2021-11-01T12.11.11.667,1.480,-0.232,-0.203,-0.952
1635761471707,2021-11-01T12.11.11.707,1.520,-0.233,-0.202,-0.953
1635761471747,2021-11-01T12.11.11.747,1.560,-0.232,-0.204,-0.953
1635761471787,2021-11-01T12.11.11.787,1.600,-0.233,-0.200,-0.954
1635761471827,2021-11-01T12.11.11.827,1.640,-0.233,-0.202,-0.953
1635761471867,2021-11-01T12.11.11.867,1.680,-0.234,-0.203,-0.953
1635761471907,2021-11-01T12.11.11.907,1.720,-0.232,-0.202,-0.953
1635761471947,2021-11-01T12.11.11.947,1.760,-0.233,-0.200,-0.953
1635761471987,2021-11-01T12.11.11.987,1.800,-0.232,-0.202,-0.954
1635761472027,2021-11-01T12.11.12.027,1.840,-0.233,-0.201,-0.953
1635761472067,2021-11-01T12.11.12.067,1.880,-0.233,-0.200,-0.954
1635761472107,2021-11-01T12.11.12.107,1.920,-0.232,-0.203,-0.954
1635761472147,2021-11-01T12.11.12.147,1.960,-0.234,-0.200,-0.952
1635761472187,2021-11-01T12.11.12.187,2.000,-0.233,-0.202,-0.953
1635761472227,2021-11-01T12.11.12.227,2.040,-0.233,-0.200,-0.954
1635761472267,2021-11-01T12.11.12.267,2.080,-0.234,-0.200,-0.954
1635761472307,2021-11-01T12.11.12.307,2.120,-0.235,-0.203,-0.953
1635761472347,2021-11-01T12.11.12.347,2.160,-0.233,-0.203,-0.953
1635761472387,2021-11-01T12.11.12.387,2.200,-0.233,-0.204,-0.950
1635761472427,2021-11-01T12.11.12.427,2.240,-0.232,-0.202,-0.953
1635761472467,2021-11-01T12.11.12.467,2.280,-0.234,-0.203,-0.953
1635761472507,2021-11-01T12.11.12.507,2.320,-0.233,-0.204,-0.953
1635761472547,2021-11-01T12.11.12.547,2.360,-0.231,-0.203,-0.953
1635761472587,2021-11-01T12.11.12.587,2.400,-0.233,-0.203,-0.953
1635761472627,2021-11-01T12.11.12.627,2.440,-0.233,-0.202,-0.954
1635761472667,2021-11-01T12.11.12.667,2.480,-0.234,-0.206,-0.951
1635761472707,2021-11-01T12.11.12.707,2.520,-0.231,-0.199,-0.955
1635761472747,2021-11-01T12.11.12.747,2.560,-0.234,-0.207,-0.950
1635761472787,2021-11-01T12.11.12.787,2.600,-0.233,-0.205,-0.955
1635761472827,2021-11-01T12.11.12.827,2.640,-0.235,-0.205,-0.952
1635761472867,2021-11-01T12.11.12.867,2.680,-0.233,-0.206,-0.953
1635761472907,2021-11-01T12.11.12.907,2.720,-0.233,-0.206,-0.953
1635761472947,2021-11-01T12.11.12.947,2.760,-0.236,-0.204,-0.951
1635761472987,2021-11-01T12.11.12.987,2.800,-0.235,-0.202,-0.952
1635761473027,2021-11-01T12.11.13.027,2.840,-0.235,-0.207,-0.951
1635761473067,2021-11-01T12.11.13.067,2.880,-0.236,-0.201,-0.953
1635761473107,2021-11-01T12.11.13.107,2.920,-0.236,-0.203,-0.953
1635761473147,2021-11-01T12.11.13.147,2.960,-0.237,-0.201,-0.952
1635761473187,2021-11-01T12.11.13.187,3.000,-0.234,-0.201,-0.954
1635761473227,2021-11-01T12.11.13.227,3.040,-0.237,-0.209,-0.949
1635761473267,2021-11-01T12.11.13.267,3.080,-0.239,-0.207,-0.949
1635761473307,2021-11-01T12.11.13.307,3.120,-0.240,-0.210,-0.950
1635761473347,2021-11-01T12.11.13.347,3.160,-0.239,-0.202,-0.952
1635761473387,2021-11-01T12.11.13.387,3.200,-0.238,-0.211,-0.951
1635761473427,2021-11-01T12.11.13.427,3.240,-0.239,-0.205,-0.951
1635761473467,2021-11-01T12.11.13.467,3.280,-0.237,-0.206,-0.950
1635761473507,2021-11-01T12.11.13.507,3.320,-0.235,-0.215,-0.951
