epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1636311723729,2021-11-07T11:02:03.729,0.000,0.396,0.061,0.213
1636311723769,2021-11-07T11:02:03.769,0.040,0.091,0.061,-0.427
1636311723809,2021-11-07T11:02:03.809,0.080,-0.122,0.091,-0.122
1636311723849,2021-11-07T11:02:03.849,0.120,-0.488,0.061,-0.396
1636311723889,2021-11-07T11:02:03.889,0.160,-0.427,0.091,-0.518
1636311723929,2021-11-07T11:02:03.929,0.200,-0.457,0.122,-0.549
1636311723969,2021-11-07T11:02:03.969,0.240,0.030,0.274,-0.518
1636311724009,2021-11-07T11:02:04.009,0.280,0.152,0.701,-0.640
1636311724049,2021-11-07T11:02:04.049,0.320,-0.061,0.610,-0.549
1636311724089,2021-11-07T11:02:04.089,0.360,-0.122,-0.061,-0.244
1636311724129,2021-11-07T11:02:04.129,0.400,-0.823,0.030,-0.213
1636311724169,2021-11-07T11:02:04.169,0.440,-0.549,0.213,-0.244
1636311724209,2021-11-07T11:02:04.209,0.480,0.030,0.061,-0.213
1636311724249,2021-11-07T11:02:04.249,0.520,1.433,0.335,-0.335
1636311724289,2021-11-07T11:02:04.289,0.560,1.524,0.030,-0.091
1636311724329,2021-11-07T11:02:04.329,0.600,0.488,-0.305,-0.244
1636311724369,2021-11-07T11:02:04.369,0.640,-0.274,-0.488,-0.091
1636311724409,2021-11-07T11:02:04.409,0.680,-1.006,-0.549,-0.091
1636311724449,2021-11-07T11:02:04.449,0.720,-1.494,-0.793,0.122
1636311724489,2021-11-07T11:02:04.489,0.760,-1.860,-0.732,0.274
1636311724529,2021-11-07T11:02:04.529,0.800,-1.982,-1.037,0.427
1636311724569,2021-11-07T11:02:04.569,0.840,-1.799,-1.646,0.518
1636311724609,2021-11-07T11:02:04.609,0.880,-0.762,-1.128,0.244
1636311724649,2021-11-07T11:02:04.649,0.920,-0.488,-0.427,-0.274
