epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1636388986092,2021-11-08T18:29:46.092,0.000,0.121,-0.119,-0.979
1636388986132,2021-11-08T18:29:46.132,0.040,0.121,-0.111,-0.987
1636388986172,2021-11-08T18:29:46.172,0.080,0.122,-0.118,-0.989
1636388986212,2021-11-08T18:29:46.212,0.120,0.125,-0.117,-0.988
1636388986252,2021-11-08T18:29:46.252,0.160,0.123,-0.119,-0.986
1636388986292,2021-11-08T18:29:46.292,0.200,0.125,-0.115,-0.988
1636388986332,2021-11-08T18:29:46.332,0.240,0.121,-0.117,-0.986
1636388986372,2021-11-08T18:29:46.372,0.280,0.126,-0.116,-0.987
1636388986412,2021-11-08T18:29:46.412,0.320,0.123,-0.114,-0.988
1636388986452,2021-11-08T18:29:46.452,0.360,0.121,-0.116,-0.983
1636388986492,2021-11-08T18:29:46.492,0.400,0.123,-0.117,-0.989
1636388986532,2021-11-08T18:29:46.532,0.440,0.124,-0.120,-0.988
1636388986572,2021-11-08T18:29:46.572,0.480,0.126,-0.115,-0.984
1636388986612,2021-11-08T18:29:46.612,0.520,0.127,-0.111,-0.988
1636388986652,2021-11-08T18:29:46.652,0.560,0.119,-0.118,-0.984
1636388986692,2021-11-08T18:29:46.692,0.600,0.125,-0.114,-0.990
1636388986732,2021-11-08T18:29:46.732,0.640,0.127,-0.120,-0.988
1636388986772,2021-11-08T18:29:46.772,0.680,0.124,-0.112,-0.986
1636388986812,2021-11-08T18:29:46.812,0.720,0.124,-0.115,-0.984
1636388986852,2021-11-08T18:29:46.852,0.760,0.119,-0.134,-0.981
1636388986892,2021-11-08T18:29:46.892,0.800,0.125,-0.109,-0.986
1636388986932,2021-11-08T18:29:46.932,0.840,0.120,-0.115,-0.988
1636388986972,2021-11-08T18:29:46.972,0.880,0.117,-0.118,-0.991
1636388987012,2021-11-08T18:29:47.012,0.920,0.123,-0.116,-0.987
1636388987052,2021-11-08T18:29:47.052,0.960,0.121,-0.129,-0.984
1636388987092,2021-11-08T18:29:47.092,1.000,0.120,-0.124,-0.987
1636388987132,2021-11-08T18:29:47.132,1.040,0.123,-0.095,-0.986
1636388987172,2021-11-08T18:29:47.172,1.080,0.118,-0.119,-0.986
1636388987212,2021-11-08T18:29:47.212,1.120,0.122,-0.110,-0.986
1636388987252,2021-11-08T18:29:47.252,1.160,0.117,-0.105,-0.995
1636388987292,2021-11-08T18:29:47.292,1.200,0.116,-0.111,-0.989
1636388987332,2021-11-08T18:29:47.332,1.240,0.118,-0.104,-0.984
1636388987372,2021-11-08T18:29:47.372,1.280,0.120,-0.120,-0.990
1636388987412,2021-11-08T18:29:47.412,1.320,0.114,-0.103,-0.988
1636388987452,2021-11-08T18:29:47.452,1.360,0.119,-0.108,-0.990
1636388987492,2021-11-08T18:29:47.492,1.400,0.121,-0.115,-0.993
1636388987532,2021-11-08T18:29:47.532,1.440,0.113,-0.098,-0.981
1636388987572,2021-11-08T18:29:47.572,1.480,0.120,-0.109,-0.990
1636388987612,2021-11-08T18:29:47.612,1.520,0.121,-0.110,-0.996
1636388987652,2021-11-08T18:29:47.652,1.560,0.117,-0.109,-0.977
1636388987692,2021-11-08T18:29:47.692,1.600,0.109,-0.117,-0.975
1636388987732,2021-11-08T18:29:47.732,1.640,0.116,-0.122,-0.974
1636388987772,2021-11-08T18:29:47.772,1.680,0.125,-0.097,-1.013
1636388987812,2021-11-08T18:29:47.812,1.720,0.123,-0.149,-0.978
1636388987852,2021-11-08T18:29:47.852,1.760,0.119,-0.130,-0.983
1636388987892,2021-11-08T18:29:47.892,1.800,0.117,-0.117,-0.992
1636388987932,2021-11-08T18:29:47.932,1.840,0.124,-0.124,-0.984
1636388987972,2021-11-08T18:29:47.972,1.880,0.116,-0.117,-0.987
1636388988012,2021-11-08T18:29:48.012,1.920,0.119,-0.125,-0.982
1636388988052,2021-11-08T18:29:48.052,1.960,0.123,-0.115,-0.987
1636388988092,2021-11-08T18:29:48.092,2.000,0.120,-0.117,-0.989
1636388988132,2021-11-08T18:29:48.132,2.040,0.119,-0.124,-0.987
1636388988172,2021-11-08T18:29:48.172,2.080,0.120,-0.094,-0.981
1636388988212,2021-11-08T18:29:48.212,2.120,0.118,-0.115,-0.990
1636388988252,2021-11-08T18:29:48.252,2.160,0.117,-0.105,-0.989
1636388988292,2021-11-08T18:29:48.292,2.200,0.112,-0.117,-0.989
1636388988332,2021-11-08T18:29:48.332,2.240,0.111,-0.123,-0.991
1636388988372,2021-11-08T18:29:48.372,2.280,0.111,-0.101,-0.986
1636388988412,2021-11-08T18:29:48.412,2.320,0.102,-0.109,-0.988
1636388988452,2021-11-08T18:29:48.452,2.360,0.102,-0.105,-0.994
1636388988492,2021-11-08T18:29:48.492,2.400,0.114,-0.124,-0.989
1636388988532,2021-11-08T18:29:48.532,2.440,0.112,-0.105,-0.988
1636388988572,2021-11-08T18:29:48.572,2.480,0.106,-0.113,-0.986
1636388988612,2021-11-08T18:29:48.612,2.520,0.110,-0.106,-0.991
1636388988652,2021-11-08T18:29:48.652,2.560,0.109,-0.115,-0.990
1636388988692,2021-11-08T18:29:48.692,2.600,0.107,-0.101,-0.992
1636388988732,2021-11-08T18:29:48.732,2.640,0.107,-0.113,-0.990
1636388988772,2021-11-08T18:29:48.772,2.680,0.103,-0.104,-0.992
1636388988812,2021-11-08T18:29:48.812,2.720,0.104,-0.103,-0.988
1636388988852,2021-11-08T18:29:48.852,2.760,0.100,-0.101,-0.995
1636388988892,2021-11-08T18:29:48.892,2.800,0.097,-0.105,-0.989
1636388988932,2021-11-08T18:29:48.932,2.840,0.097,-0.094,-0.991
1636388988972,2021-11-08T18:29:48.972,2.880,0.104,-0.106,-0.994
1636388989012,2021-11-08T18:29:49.012,2.920,0.101,-0.105,-0.991
1636388989052,2021-11-08T18:29:49.052,2.960,0.104,-0.097,-0.992
1636388989092,2021-11-08T18:29:49.092,3.000,0.103,-0.105,-0.993
1636388989132,2021-11-08T18:29:49.132,3.040,0.098,-0.101,-0.995
1636388989172,2021-11-08T18:29:49.172,3.080,0.092,-0.089,-0.991
1636388989212,2021-11-08T18:29:49.212,3.120,0.097,-0.102,-0.997
1636388989252,2021-11-08T18:29:49.252,3.160,0.096,-0.097,-0.990
1636388989292,2021-11-08T18:29:49.292,3.200,0.092,-0.088,-0.988
1636388989332,2021-11-08T18:29:49.332,3.240,0.094,-0.097,-0.994
1636388989372,2021-11-08T18:29:49.372,3.280,0.102,-0.101,-1.002
1636388989412,2021-11-08T18:29:49.412,3.320,0.094,-0.086,-0.984
1636388989452,2021-11-08T18:29:49.452,3.360,0.091,-0.103,-0.989
1636388989492,2021-11-08T18:29:49.492,3.400,0.092,-0.097,-0.980
1636388989532,2021-11-08T18:29:49.532,3.440,0.100,-0.099,-0.998
1636388989572,2021-11-08T18:29:49.572,3.480,0.091,-0.110,-1.000
1636388989612,2021-11-08T18:29:49.612,3.520,0.090,-0.099,-0.996
1636388989652,2021-11-08T18:29:49.652,3.560,0.089,-0.099,-0.990
1636388989692,2021-11-08T18:29:49.692,3.600,0.087,-0.101,-0.991
1636388989732,2021-11-08T18:29:49.732,3.640,0.093,-0.098,-0.995
1636388989772,2021-11-08T18:29:49.772,3.680,0.093,-0.099,-0.999
1636388989812,2021-11-08T18:29:49.812,3.720,0.089,-0.099,-0.996
1636388989852,2021-11-08T18:29:49.852,3.760,0.095,-0.087,-0.987
1636388989892,2021-11-08T18:29:49.892,3.800,0.094,-0.097,-0.993
1636388989932,2021-11-08T18:29:49.932,3.840,0.093,-0.098,-0.992
1636388989972,2021-11-08T18:29:49.972,3.880,0.101,-0.097,-0.994
1636388990012,2021-11-08T18:29:50.012,3.920,0.094,-0.094,-0.995
1636388990052,2021-11-08T18:29:50.052,3.960,0.098,-0.077,-0.987
1636388990092,2021-11-08T18:29:50.092,4.000,0.107,-0.110,-0.991
1636388990132,2021-11-08T18:29:50.132,4.040,0.104,-0.080,-1.002
1636388990172,2021-11-08T18:29:50.172,4.080,0.110,-0.105,-0.979
1636388990212,2021-11-08T18:29:50.212,4.120,0.111,-0.112,-0.989
1636388990252,2021-11-08T18:29:50.252,4.160,0.112,-0.110,-0.994
1636388990292,2021-11-08T18:29:50.292,4.200,0.111,-0.107,-0.991
1636388990332,2021-11-08T18:29:50.332,4.240,0.108,-0.109,-0.990
1636388990372,2021-11-08T18:29:50.372,4.280,0.108,-0.087,-0.989
1636388990412,2021-11-08T18:29:50.412,4.320,0.111,-0.097,-0.993
1636388990452,2021-11-08T18:29:50.452,4.360,0.113,-0.098,-0.993
1636388990492,2021-11-08T18:29:50.492,4.400,0.114,-0.096,-0.991
1636388990532,2021-11-08T18:29:50.532,4.440,0.115,-0.095,-0.988
1636388990572,2021-11-08T18:29:50.572,4.480,0.113,-0.093,-0.990
1636388990612,2021-11-08T18:29:50.612,4.520,0.113,-0.097,-0.992
1636388990652,2021-11-08T18:29:50.652,4.560,0.114,-0.098,-0.991
1636388990692,2021-11-08T18:29:50.692,4.600,0.114,-0.093,-0.990
1636388990732,2021-11-08T18:29:50.732,4.640,0.115,-0.096,-0.991
1636388990772,2021-11-08T18:29:50.772,4.680,0.111,-0.091,-0.990
1636388990812,2021-11-08T18:29:50.812,4.720,0.116,-0.092,-0.990
1636388990852,2021-11-08T18:29:50.852,4.760,0.114,-0.095,-0.993
1636388990892,2021-11-08T18:29:50.892,4.800,0.110,-0.097,-0.991
1636388990932,2021-11-08T18:29:50.932,4.840,0.113,-0.094,-0.991
1636388990972,2021-11-08T18:29:50.972,4.880,0.111,-0.087,-0.990
1636388991012,2021-11-08T18:29:51.012,4.920,0.115,-0.092,-0.988
1636388991052,2021-11-08T18:29:51.052,4.960,0.115,-0.098,-0.993
1636388991092,2021-11-08T18:29:51.092,5.000,0.111,-0.095,-0.990
1636388991132,2021-11-08T18:29:51.132,5.040,0.108,-0.093,-0.989
1636388991172,2021-11-08T18:29:51.172,5.080,0.115,-0.084,-0.991
1636388991212,2021-11-08T18:29:51.212,5.120,0.114,-0.098,-0.990
1636388991252,2021-11-08T18:29:51.252,5.160,0.113,-0.090,-0.990
1636388991292,2021-11-08T18:29:51.292,5.200,0.113,-0.094,-0.994
1636388991332,2021-11-08T18:29:51.332,5.240,0.115,-0.093,-0.991
1636388991372,2021-11-08T18:29:51.372,5.280,0.112,-0.086,-0.989
1636388991412,2021-11-08T18:29:51.412,5.320,0.112,-0.092,-0.994
1636388991452,2021-11-08T18:29:51.452,5.360,0.112,-0.093,-0.990
1636388991492,2021-11-08T18:29:51.492,5.400,0.115,-0.089,-0.991
1636388991532,2021-11-08T18:29:51.532,5.440,0.114,-0.093,-0.991
1636388991572,2021-11-08T18:29:51.572,5.480,0.113,-0.091,-0.990
1636388991612,2021-11-08T18:29:51.612,5.520,0.111,-0.094,-0.989
1636388991652,2021-11-08T18:29:51.652,5.560,0.115,-0.095,-0.994
1636388991692,2021-11-08T18:29:51.692,5.600,0.116,-0.088,-0.993
1636388991732,2021-11-08T18:29:51.732,5.640,0.112,-0.097,-0.990
1636388991772,2021-11-08T18:29:51.772,5.680,0.112,-0.089,-0.987
1636388991812,2021-11-08T18:29:51.812,5.720,0.113,-0.092,-0.992
1636388991852,2021-11-08T18:29:51.852,5.760,0.115,-0.094,-0.991
1636388991892,2021-11-08T18:29:51.892,5.800,0.114,-0.093,-0.990
1636388991932,2021-11-08T18:29:51.932,5.840,0.113,-0.092,-0.990
1636388991972,2021-11-08T18:29:51.972,5.880,0.115,-0.095,-0.992
1636388992012,2021-11-08T18:29:52.012,5.920,0.114,-0.086,-0.994
1636388992052,2021-11-08T18:29:52.052,5.960,0.112,-0.092,-0.987
1636388992092,2021-11-08T18:29:52.092,6.000,0.113,-0.091,-0.993
1636388992132,2021-11-08T18:29:52.132,6.040,0.113,-0.089,-0.992
1636388992172,2021-11-08T18:29:52.172,6.080,0.113,-0.111,-0.989
1636388992212,2021-11-08T18:29:52.212,6.120,0.114,-0.078,-0.998
1636388992252,2021-11-08T18:29:52.252,6.160,0.117,-0.084,-0.984
1636388992292,2021-11-08T18:29:52.292,6.200,0.112,-0.109,-0.980
1636388992332,2021-11-08T18:29:52.332,6.240,0.104,-0.095,-1.002
1636388992372,2021-11-08T18:29:52.372,6.280,0.109,-0.088,-0.993
1636388992412,2021-11-08T18:29:52.412,6.320,0.105,-0.090,-0.994
1636388992452,2021-11-08T18:29:52.452,6.360,0.111,-0.114,-0.987
1636388992492,2021-11-08T18:29:52.492,6.400,0.114,-0.090,-0.988
1636388992532,2021-11-08T18:29:52.532,6.440,0.109,-0.086,-0.997
1636388992572,2021-11-08T18:29:52.572,6.480,0.107,-0.102,-0.988
1636388992612,2021-11-08T18:29:52.612,6.520,0.111,-0.091,-0.996
1636388992652,2021-11-08T18:29:52.652,6.560,0.105,-0.097,-0.990
1636388992692,2021-11-08T18:29:52.692,6.600,0.109,-0.102,-0.991
1636388992732,2021-11-08T18:29:52.732,6.640,0.115,-0.101,-0.989
1636388992772,2021-11-08T18:29:52.772,6.680,0.103,-0.078,-0.995
1636388992812,2021-11-08T18:29:52.812,6.720,0.095,-0.106,-0.990
1636388992852,2021-11-08T18:29:52.852,6.760,0.105,-0.110,-0.992
1636388992892,2021-11-08T18:29:52.892,6.800,0.105,-0.084,-0.990
1636388992932,2021-11-08T18:29:52.932,6.840,0.107,-0.097,-0.995
1636388992972,2021-11-08T18:29:52.972,6.880,0.106,-0.103,-0.992
1636388993012,2021-11-08T18:29:53.012,6.920,0.101,-0.096,-0.988
1636388993052,2021-11-08T18:29:53.052,6.960,0.101,-0.087,-0.995
1636388993092,2021-11-08T18:29:53.092,7.000,0.102,-0.087,-0.999
1636388993132,2021-11-08T18:29:53.132,7.040,0.113,-0.084,-0.989
1636388993172,2021-11-08T18:29:53.172,7.080,0.112,-0.086,-0.989
1636388993212,2021-11-08T18:29:53.212,7.120,0.114,-0.088,-0.994
1636388993252,2021-11-08T18:29:53.252,7.160,0.120,-0.095,-0.989
1636388993292,2021-11-08T18:29:53.292,7.200,0.121,-0.095,-0.987
1636388993332,2021-11-08T18:29:53.332,7.240,0.116,-0.091,-0.992
1636388993372,2021-11-08T18:29:53.372,7.280,0.117,-0.081,-0.990
1636388993412,2021-11-08T18:29:53.412,7.320,0.119,-0.091,-0.988
1636388993452,2021-11-08T18:29:53.452,7.360,0.114,-0.080,-0.996
1636388993492,2021-11-08T18:29:53.492,7.400,0.116,-0.099,-0.989
1636388993532,2021-11-08T18:29:53.532,7.440,0.115,-0.084,-0.991
1636388993572,2021-11-08T18:29:53.572,7.480,0.116,-0.089,-0.992
1636388993612,2021-11-08T18:29:53.612,7.520,0.117,-0.095,-0.991
1636388993652,2021-11-08T18:29:53.652,7.560,0.117,-0.086,-0.990
1636388993692,2021-11-08T18:29:53.692,7.600,0.116,-0.086,-0.991
1636388993732,2021-11-08T18:29:53.732,7.640,0.116,-0.093,-0.992
1636388993772,2021-11-08T18:29:53.772,7.680,0.117,-0.088,-0.992
