epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.63664E+12,2021-11-11T15.04.22.349,0,0.671,-0.335,-0.64
1.63664E+12,2021-11-11T15.04.22.389,0.04,0.488,-0.183,-0.976
1.63664E+12,2021-11-11T15.04.22.429,0.08,0.274,-0.061,-0.366
1.63664E+12,2021-11-11T15.04.22.469,0.12,0.335,-0.122,-0.335
1.63664E+12,2021-11-11T15.04.22.509,0.16,0.152,-0.091,-0.427
1.63664E+12,2021-11-11T15.04.22.549,0.2,0.244,0,-0.427
1.63664E+12,2021-11-11T15.04.22.589,0.24,0.244,0.03,-0.396
1.63664E+12,2021-11-11T15.04.22.629,0.28,0.122,-0.061,-0.305
1.63664E+12,2021-11-11T15.04.22.669,0.32,0.335,-0.152,-0.366
1.63664E+12,2021-11-11T15.04.22.709,0.36,0.427,-0.244,-0.427
1.63664E+12,2021-11-11T15.04.22.749,0.4,0.305,-0.091,-0.335
1.63664E+12,2021-11-11T15.04.22.789,0.44,0.274,-0.091,-0.366
1.63664E+12,2021-11-11T15.04.22.829,0.48,0.274,-0.091,-0.457
1.63664E+12,2021-11-11T15.04.22.869,0.52,0.244,0.061,-0.427
1.63664E+12,2021-11-11T15.04.22.909,0.56,0.274,-0.03,-0.488
1.63664E+12,2021-11-11T15.04.22.949,0.6,0.396,-0.152,-0.427
1.63664E+12,2021-11-11T15.04.22.989,0.64,0.274,-0.183,-0.427
1.63664E+12,2021-11-11T15.04.23.029,0.68,0.274,-0.152,-0.427
1.63664E+12,2021-11-11T15.04.23.069,0.72,0.427,-0.061,-0.366
1.63664E+12,2021-11-11T15.04.23.109,0.76,0.335,-0.213,-0.366
1.63664E+12,2021-11-11T15.04.23.149,0.8,0.335,-0.274,-0.396
1.63664E+12,2021-11-11T15.04.23.189,0.84,0.091,-0.061,-0.335
1.63664E+12,2021-11-11T15.04.23.229,0.88,-0.03,0.03,-0.396
1.63664E+12,2021-11-11T15.04.23.269,0.92,0.427,-0.03,-0.366
