epoc (ms),timestamp (+0200),elapsed (s),pressure (Pa)
1636463525228,2021-11-09T15.12.05.228,0.000,101223.820
1636463525491,2021-11-09T15.12.05.491,0.263,101216.297
1636463525756,2021-11-09T15.12.05.756,0.528,101216.781
1636463526022,2021-11-09T15.12.06.022,0.794,101217.281
1636463526285,2021-11-09T15.12.06.285,1.057,101217.445
1636463526550,2021-11-09T15.12.06.550,1.322,101215.594
1636463526816,2021-11-09T15.12.06.816,1.588,101218.117
1636463527079,2021-11-09T15.12.07.079,1.851,101213.594
1636463527344,2021-11-09T15.12.07.344,2.116,101217.094
1636463527609,2021-11-09T15.12.07.609,2.381,101219.773
1636463527873,2021-11-09T15.12.07.873,2.645,101218.438
1636463528138,2021-11-09T15.12.08.138,2.910,101212.406
1636463528403,2021-11-09T15.12.08.403,3.175,101214.578
1636463528667,2021-11-09T15.12.08.667,3.439,101216.078
1636463528932,2021-11-09T15.12.08.932,3.704,101214.070
1636463529196,2021-11-09T15.12.09.196,3.968,101211.742
1636463529461,2021-11-09T15.12.09.461,4.233,101216.078
1636463529726,2021-11-09T15.12.09.726,4.498,101213.906
1636463529990,2021-11-09T15.12.09.990,4.762,101216.078
1636463530255,2021-11-09T15.12.10.255,5.027,101213.750
1636463530520,2021-11-09T15.12.10.520,5.292,101212.734
1636463530784,2021-11-09T15.12.10.784,5.556,101212.406
1636463531049,2021-11-09T15.12.11.049,5.821,101213.906
1636463531313,2021-11-09T15.12.11.313,6.085,101213.398
1636463531578,2021-11-09T15.12.11.578,6.350,101218.758
1636463531843,2021-11-09T15.12.11.843,6.615,101214.234
1636463532107,2021-11-09T15.12.12.107,6.879,101214.578
1636463532372,2021-11-09T15.12.12.372,7.144,101218.250
1636463532637,2021-11-09T15.12.12.637,7.409,101211.391
1636463532900,2021-11-09T15.12.12.900,7.672,101215.406
1636463533166,2021-11-09T15.12.13.166,7.938,101213.398
1636463533429,2021-11-09T15.12.13.429,8.201,101217.414
1636463533694,2021-11-09T15.12.13.694,8.466,101212.734
1636463533960,2021-11-09T15.12.13.960,8.732,101217.578
1636463534225,2021-11-09T15.12.14.225,8.997,101213.398
