epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635434753602,2021-10-28T18:25:53.602,0.000,0.255,-0.330,-0.907
1635434753643,2021-10-28T18:25:53.643,0.041,0.256,-0.332,-0.915
1635434753682,2021-10-28T18:25:53.682,0.080,0.261,-0.326,-0.910
1635434753723,2021-10-28T18:25:53.723,0.121,0.260,-0.332,-0.909
1635434753763,2021-10-28T18:25:53.763,0.161,0.259,-0.333,-0.910
1635434753804,2021-10-28T18:25:53.804,0.202,0.261,-0.325,-0.911
1635434753843,2021-10-28T18:25:53.843,0.241,0.258,-0.335,-0.912
1635434753884,2021-10-28T18:25:53.884,0.282,0.262,-0.335,-0.916
1635434753924,2021-10-28T18:25:53.924,0.322,0.269,-0.326,-0.901
1635434753963,2021-10-28T18:25:53.963,0.361,0.263,-0.336,-0.917
1635434754004,2021-10-28T18:25:54.004,0.402,0.276,-0.345,-0.897
1635434754044,2021-10-28T18:25:54.044,0.442,0.294,-0.304,-0.877
1635434754085,2021-10-28T18:25:54.085,0.483,0.288,-0.329,-0.861
1635434754125,2021-10-28T18:25:54.125,0.523,0.216,-0.363,-0.964
1635434754166,2021-10-28T18:25:54.166,0.564,0.209,-0.354,-0.920
1635434754205,2021-10-28T18:25:54.205,0.603,0.246,-0.289,-0.919
1635434754246,2021-10-28T18:25:54.246,0.644,0.239,-0.342,-0.921
1635434754286,2021-10-28T18:25:54.286,0.684,0.215,-0.369,-0.916
1635434754325,2021-10-28T18:25:54.325,0.723,0.217,-0.313,-0.918
1635434754366,2021-10-28T18:25:54.366,0.764,0.217,-0.339,-0.930
1635434754406,2021-10-28T18:25:54.406,0.804,0.249,-0.292,-0.942
1635434754447,2021-10-28T18:25:54.447,0.845,0.232,-0.336,-0.960
1635434754486,2021-10-28T18:25:54.486,0.884,0.250,-0.308,-1.002
1635434754527,2021-10-28T18:25:54.527,0.925,0.223,-0.255,-0.941
1635434754567,2021-10-28T18:25:54.567,0.965,0.160,-0.284,-0.965
1635434754608,2021-10-28T18:25:54.608,1.006,0.174,-0.252,-0.997
1635434754648,2021-10-28T18:25:54.648,1.046,0.206,-0.185,-0.915
1635434754689,2021-10-28T18:25:54.689,1.087,0.201,-0.139,-0.810
1635434754728,2021-10-28T18:25:54.728,1.126,0.242,-0.082,-0.787
1635434754768,2021-10-28T18:25:54.768,1.166,0.272,-0.128,-0.781
1635434754809,2021-10-28T18:25:54.809,1.207,0.495,-0.137,-1.011
1635434754848,2021-10-28T18:25:54.848,1.246,0.240,-0.195,-1.250
