epoch (ms),time (03:00),elapsed (s),pressure (Pa)
1635276744953,2021-10-26T22:32:24.953,0.000,100933.195
1635276745214,2021-10-26T22:32:25.214,0.261,100929.953
1635276745475,2021-10-26T22:32:25.475,0.522,100925.344
1635276745734,2021-10-26T22:32:25.734,0.781,100933.195
1635276745995,2021-10-26T22:32:25.995,1.042,100931.844
1635276746256,2021-10-26T22:32:26.256,1.303,100935.898
1635276746516,2021-10-26T22:32:26.516,1.563,100932.898
1635276746777,2021-10-26T22:32:26.777,1.824,100934.000
1635276747038,2021-10-26T22:32:27.038,2.085,100933.461
1635276747299,2021-10-26T22:32:27.299,2.346,100932.656
1635276747559,2021-10-26T22:32:27.559,2.606,100927.250
1635276747819,2021-10-26T22:32:27.819,2.866,100907.000
1635276748079,2021-10-26T22:32:28.079,3.126,100942.906
1635276748340,2021-10-26T22:32:28.340,3.387,100937.813
1635276748601,2021-10-26T22:32:28.601,3.648,100930.766
1635276748862,2021-10-26T22:32:28.862,3.909,100931.063
1635276749122,2021-10-26T22:32:29.122,4.169,100929.406
1635276749383,2021-10-26T22:32:29.383,4.430,100931.867
1635276749644,2021-10-26T22:32:29.644,4.691,100932.406
1635276749903,2021-10-26T22:32:29.903,4.950,100940.813
1635276750164,2021-10-26T22:32:30.164,5.211,100931.867
1635276750424,2021-10-26T22:32:30.424,5.471,100896.258
1635276750685,2021-10-26T22:32:30.685,5.732,100925.656
1635276750946,2021-10-26T22:32:30.946,5.993,100944.313
1635276751207,2021-10-26T22:32:31.207,6.254,100936.758
1635276751467,2021-10-26T22:32:31.467,6.514,100933.266
1635276751728,2021-10-26T22:32:31.728,6.775,100915.969
1635276751987,2021-10-26T22:32:31.987,7.034,100939.719
1635276752248,2021-10-26T22:32:32.248,7.295,100931.109
1635276752509,2021-10-26T22:32:32.509,7.556,100926.766
1635276752770,2021-10-26T22:32:32.770,7.817,100936.219
1635276753030,2021-10-26T22:32:33.030,8.077,100927.578
1635276753291,2021-10-26T22:32:33.291,8.338,100931.109
1635276753552,2021-10-26T22:32:33.552,8.599,100934.625
1635276753813,2021-10-26T22:32:33.813,8.860,100930.570
1635276754073,2021-10-26T22:32:34.073,9.120,100930.031
1635276754334,2021-10-26T22:32:34.334,9.381,100934.078
1635276754593,2021-10-26T22:32:34.593,9.640,100933.266
1635276754854,2021-10-26T22:32:34.854,9.901,100934.625
1635276755115,2021-10-26T22:32:35.115,10.162,100933.563
1635276755376,2021-10-26T22:32:35.376,10.423,100931.375
1635276755636,2021-10-26T22:32:35.636,10.683,100928.172
1635276755897,2021-10-26T22:32:35.897,10.944,100929.516
1635276756158,2021-10-26T22:32:36.158,11.205,100937.891
1635276756419,2021-10-26T22:32:36.419,11.466,100939.234
1635276756678,2021-10-26T22:32:36.678,11.725,100928.438
1635276756939,2021-10-26T22:32:36.939,11.986,100920.633
1635276757199,2021-10-26T22:32:37.199,12.246,100919.797
1635276757460,2021-10-26T22:32:37.460,12.507,100968.938
1635276757721,2021-10-26T22:32:37.721,12.768,100927.375
1635276757982,2021-10-26T22:32:37.982,13.029,100944.094
1635276758242,2021-10-26T22:32:38.242,13.289,100913.875
1635276758503,2021-10-26T22:32:38.503,13.550,100884.688
1635276758762,2021-10-26T22:32:38.762,13.809,100889.039
1635276759023,2021-10-26T22:32:39.023,14.070,100899.031
1635276759284,2021-10-26T22:32:39.284,14.331,100904.430
1635276759545,2021-10-26T22:32:39.545,14.592,100950.086
1635276759805,2021-10-26T22:32:39.805,14.852,100975.203
1635276760066,2021-10-26T22:32:40.066,15.113,101003.547
1635276760327,2021-10-26T22:32:40.327,15.374,100974.898
1635276760588,2021-10-26T22:32:40.588,15.635,100975.203
1635276760847,2021-10-26T22:32:40.847,15.894,100975.203
1635276761108,2021-10-26T22:32:41.108,16.155,100927.398
1635276761368,2021-10-26T22:32:41.368,16.415,100908.500
1635276761629,2021-10-26T22:32:41.629,16.676,100903.641
1635276761890,2021-10-26T22:32:41.890,16.937,100899.594
1635276762151,2021-10-26T22:32:42.151,17.198,100910.391
1635276762411,2021-10-26T22:32:42.411,17.458,100915.250
1635276762672,2021-10-26T22:32:42.672,17.719,100918.250
1635276762931,2021-10-26T22:32:42.931,17.978,100922.297
1635276763192,2021-10-26T22:32:43.192,18.239,100924.703
1635276763453,2021-10-26T22:32:43.453,18.500,100920.656
1635276763714,2021-10-26T22:32:43.714,18.761,100930.398
1635276763974,2021-10-26T22:32:43.974,19.021,100925.813
1635276764235,2021-10-26T22:32:44.235,19.282,100925.813
1635276764496,2021-10-26T22:32:44.496,19.543,100925.813
1635276764757,2021-10-26T22:32:44.757,19.804,100929.313
1635276765016,2021-10-26T22:32:45.016,20.063,100928.797
1635276765277,2021-10-26T22:32:45.277,20.324,100930.664
1635276765537,2021-10-26T22:32:45.537,20.584,100932.016
1635276765798,2021-10-26T22:32:45.798,20.845,100928.500
1635276766059,2021-10-26T22:32:46.059,21.106,100931.500
1635276766320,2021-10-26T22:32:46.320,21.367,100928.500
1635276766580,2021-10-26T22:32:46.580,21.627,100926.102
1635276766841,2021-10-26T22:32:46.841,21.888,100915.813
1635276767100,2021-10-26T22:32:47.100,22.147,100889.109
1635276767361,2021-10-26T22:32:47.361,22.408,100887.211
1635276767622,2021-10-26T22:32:47.622,22.669,100881.813
1635276767882,2021-10-26T22:32:47.882,22.929,100885.859
1635276768143,2021-10-26T22:32:48.143,23.190,100894.266
1635276768404,2021-10-26T22:32:48.404,23.451,100900.453
1635276768665,2021-10-26T22:32:48.665,23.712,100905.313
1635276768925,2021-10-26T22:32:48.925,23.972,100910.711
1635276769185,2021-10-26T22:32:49.185,24.232,100912.867
1635276769445,2021-10-26T22:32:49.445,24.492,100909.656
1635276769706,2021-10-26T22:32:49.706,24.753,100923.719
1635276769967,2021-10-26T22:32:49.967,25.014,100921.266
1635276770228,2021-10-26T22:32:50.228,25.275,100916.969
1635276770488,2021-10-26T22:32:50.488,25.535,100921.813
1635276770749,2021-10-26T22:32:50.749,25.796,100925.609
1635276771010,2021-10-26T22:32:51.010,26.057,100926.719
1635276771269,2021-10-26T22:32:51.269,26.316,100931.016
1635276771530,2021-10-26T22:32:51.530,26.577,100921.828
1635276771791,2021-10-26T22:32:51.791,26.838,100921.563
1635276772051,2021-10-26T22:32:52.051,27.098,100925.016
1635276772312,2021-10-26T22:32:52.312,27.359,100933.984
1635276772573,2021-10-26T22:32:52.573,27.620,100928.578
1635276772834,2021-10-26T22:32:52.834,27.881,100931.016
1635276773094,2021-10-26T22:32:53.094,28.141,100944.781
1635276773354,2021-10-26T22:32:53.354,28.401,100954.234
1635276773614,2021-10-26T22:32:53.614,28.661,100958.578
1635276773875,2021-10-26T22:32:53.875,28.922,100941.570
1635276774136,2021-10-26T22:32:54.136,29.183,100954.797
1635276774397,2021-10-26T22:32:54.397,29.444,100958.578
1635276774657,2021-10-26T22:32:54.657,29.704,100949.938
1635276774918,2021-10-26T22:32:54.918,29.965,100945.078
1635276775179,2021-10-26T22:32:55.179,30.226,100947.234
1635276775438,2021-10-26T22:32:55.438,30.485,100946.422
1635276775699,2021-10-26T22:32:55.699,30.746,100938.594
1635276775960,2021-10-26T22:32:55.960,31.007,100942.641
1635276776220,2021-10-26T22:32:56.220,31.267,100934.031
1635276776481,2021-10-26T22:32:56.481,31.528,100938.594
1635276776742,2021-10-26T22:32:56.742,31.789,100938.891
