epoc (ms),timestamp (+0200),elapsed (s),pressure (Pa)
1636542487215,2021-11-10T13.08.07.215,0.000,100900.719
1636542487477,2021-11-10T13.08.07.477,0.262,100896.516
1636542487739,2021-11-10T13.08.07.739,0.524,100902.219
1636542488000,2021-11-10T13.08.08.000,0.785,100900.047
1636542488262,2021-11-10T13.08.08.262,1.047,100895.398
1636542488524,2021-11-10T13.08.08.524,1.309,100902.406
1636542488786,2021-11-10T13.08.08.786,1.571,100899.742
1636542489047,2021-11-10T13.08.09.047,1.832,100896.734
1636542489309,2021-11-10T13.08.09.309,2.094,100897.750
1636542489571,2021-11-10T13.08.09.571,2.356,100899.742
1636542489833,2021-11-10T13.08.09.833,2.618,100895.750
1636542490095,2021-11-10T13.08.10.095,2.880,100899.742
1636542490356,2021-11-10T13.08.10.356,3.141,100898.594
1636542490618,2021-11-10T13.08.10.618,3.403,100898.414
1636542490880,2021-11-10T13.08.10.880,3.665,100903.141
1636542491142,2021-11-10T13.08.11.142,3.927,100900.578
1636542491403,2021-11-10T13.08.11.403,4.188,100901.453
1636542491665,2021-11-10T13.08.11.665,4.450,100902.297
1636542491927,2021-11-10T13.08.11.927,4.712,100899.258
1636542492189,2021-11-10T13.08.12.189,4.974,100900.133
1636542492451,2021-11-10T13.08.12.451,5.236,100902.125
1636542492712,2021-11-10T13.08.12.712,5.497,100896.984
1636542492974,2021-11-10T13.08.12.974,5.759,100901.641
1636542493236,2021-11-10T13.08.13.236,6.021,100899.469
1636542493498,2021-11-10T13.08.13.498,6.283,100895.656
1636542493759,2021-11-10T13.08.13.759,6.545,100895.484
1636542494021,2021-11-10T13.08.14.021,6.806,100896.328
1636542494283,2021-11-10T13.08.14.283,7.068,100899.156
1636542494545,2021-11-10T13.08.14.545,7.330,100900.312
1636542494807,2021-11-10T13.08.14.807,7.592,100899.156
1636542495068,2021-11-10T13.08.15.068,7.853,100899.469
1636542495330,2021-11-10T13.08.15.330,8.115,100901.539
1636542495592,2021-11-10T13.08.15.592,8.377,100899.547
1636542495854,2021-11-10T13.08.15.854,8.639,100902.688
1636542496115,2021-11-10T13.08.16.115,8.901,100901.359
1636542496377,2021-11-10T13.08.16.377,9.162,100900.875
1636542496639,2021-11-10T13.08.16.639,9.424,100902.031
1636542496901,2021-11-10T13.08.16.901,9.686,100904.688
1636542497163,2021-11-10T13.08.17.163,9.948,100902.875
1636542497424,2021-11-10T13.08.17.424,10.209,100902.031
1636542497686,2021-11-10T13.08.17.686,10.471,100903.531
1636542497948,2021-11-10T13.08.17.948,10.733,100902.383
1636542498210,2021-11-10T13.08.18.210,10.995,100897.375
