epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1636277317633,2021-11-07T11.28.37.633,0.000,-0.052,0.205,-0.942
1636277317673,2021-11-07T11.28.37.673,0.040,-0.054,0.207,-0.950
1636277317713,2021-11-07T11.28.37.713,0.080,-0.054,0.208,-0.947
1636277317753,2021-11-07T11.28.37.753,0.120,-0.055,0.209,-0.947
1636277317793,2021-11-07T11.28.37.793,0.160,-0.055,0.208,-0.946
1636277317833,2021-11-07T11.28.37.833,0.200,-0.052,0.210,-0.947
1636277317873,2021-11-07T11.28.37.873,0.240,-0.055,0.206,-0.948
1636277317913,2021-11-07T11.28.37.913,0.280,-0.056,0.210,-0.947
1636277317953,2021-11-07T11.28.37.953,0.320,-0.054,0.204,-0.947
1636277317993,2021-11-07T11.28.37.993,0.360,-0.054,0.208,-0.948
1636277318033,2021-11-07T11.28.38.033,0.400,-0.053,0.204,-0.949
1636277318073,2021-11-07T11.28.38.073,0.440,-0.055,0.201,-0.948
1636277318113,2021-11-07T11.28.38.113,0.480,-0.053,0.207,-0.948
1636277318153,2021-11-07T11.28.38.153,0.520,-0.055,0.211,-0.946
1636277318193,2021-11-07T11.28.38.193,0.560,-0.058,0.208,-0.947
1636277318233,2021-11-07T11.28.38.233,0.600,-0.055,0.205,-0.947
1636277318273,2021-11-07T11.28.38.273,0.640,-0.055,0.210,-0.946
1636277318313,2021-11-07T11.28.38.313,0.680,-0.055,0.205,-0.949
1636277318353,2021-11-07T11.28.38.353,0.720,-0.056,0.206,-0.947
1636277318393,2021-11-07T11.28.38.393,0.760,-0.053,0.205,-0.946
1636277318433,2021-11-07T11.28.38.433,0.800,-0.055,0.212,-0.944
1636277318473,2021-11-07T11.28.38.473,0.840,-0.055,0.209,-0.946
1636277318513,2021-11-07T11.28.38.513,0.880,-0.055,0.205,-0.946
1636277318553,2021-11-07T11.28.38.553,0.920,-0.052,0.209,-0.948
1636277318593,2021-11-07T11.28.38.593,0.960,-0.054,0.207,-0.948
1636277318633,2021-11-07T11.28.38.633,1.000,-0.052,0.209,-0.946
1636277318673,2021-11-07T11.28.38.673,1.040,-0.055,0.205,-0.947
1636277318713,2021-11-07T11.28.38.713,1.080,-0.052,0.206,-0.947
1636277318753,2021-11-07T11.28.38.753,1.120,-0.055,0.206,-0.946
1636277318793,2021-11-07T11.28.38.793,1.160,-0.059,0.205,-0.945
1636277318833,2021-11-07T11.28.38.833,1.200,-0.053,0.204,-0.948
1636277318873,2021-11-07T11.28.38.873,1.240,-0.047,0.218,-0.947
1636277318913,2021-11-07T11.28.38.913,1.280,-0.054,0.201,-0.948
1636277318953,2021-11-07T11.28.38.953,1.320,-0.057,0.205,-0.946
1636277318993,2021-11-07T11.28.38.993,1.360,-0.054,0.210,-0.946
1636277319033,2021-11-07T11.28.39.033,1.400,-0.053,0.208,-0.946
1636277319073,2021-11-07T11.28.39.073,1.440,-0.054,0.211,-0.946
1636277319113,2021-11-07T11.28.39.113,1.480,-0.053,0.207,-0.947
1636277319153,2021-11-07T11.28.39.153,1.520,-0.053,0.211,-0.947
1636277319193,2021-11-07T11.28.39.193,1.560,-0.053,0.213,-0.945
1636277319233,2021-11-07T11.28.39.233,1.600,-0.052,0.212,-0.946
1636277319273,2021-11-07T11.28.39.273,1.640,-0.056,0.208,-0.945
1636277319313,2021-11-07T11.28.39.313,1.680,-0.056,0.216,-0.943
1636277319353,2021-11-07T11.28.39.353,1.720,-0.051,0.214,-0.946
1636277319393,2021-11-07T11.28.39.393,1.760,-0.054,0.215,-0.945
1636277319433,2021-11-07T11.28.39.433,1.800,-0.055,0.208,-0.946
1636277319473,2021-11-07T11.28.39.473,1.840,-0.052,0.216,-0.946
1636277319513,2021-11-07T11.28.39.513,1.880,-0.052,0.212,-0.947
1636277319553,2021-11-07T11.28.39.553,1.920,-0.055,0.204,-0.946
1636277319593,2021-11-07T11.28.39.593,1.960,-0.055,0.212,-0.945
1636277319633,2021-11-07T11.28.39.633,2.000,-0.052,0.209,-0.948
1636277319673,2021-11-07T11.28.39.673,2.040,-0.056,0.202,-0.946
1636277319713,2021-11-07T11.28.39.713,2.080,-0.054,0.209,-0.945
1636277319753,2021-11-07T11.28.39.753,2.120,-0.051,0.205,-0.947
1636277319793,2021-11-07T11.28.39.793,2.160,-0.054,0.208,-0.947
1636277319833,2021-11-07T11.28.39.833,2.200,-0.056,0.203,-0.947
1636277319873,2021-11-07T11.28.39.873,2.240,-0.053,0.208,-0.946
1636277319913,2021-11-07T11.28.39.913,2.280,-0.050,0.212,-0.948
1636277319953,2021-11-07T11.28.39.953,2.320,-0.052,0.212,-0.945
1636277319993,2021-11-07T11.28.39.993,2.360,-0.055,0.213,-0.944
1636277320033,2021-11-07T11.28.40.033,2.400,-0.050,0.214,-0.945
1636277320073,2021-11-07T11.28.40.073,2.440,-0.052,0.212,-0.946
1636277320113,2021-11-07T11.28.40.113,2.480,-0.052,0.216,-0.945
1636277320153,2021-11-07T11.28.40.153,2.520,-0.052,0.216,-0.944
1636277320193,2021-11-07T11.28.40.193,2.560,-0.053,0.207,-0.946
1636277320233,2021-11-07T11.28.40.233,2.600,-0.051,0.218,-0.944
1636277320273,2021-11-07T11.28.40.273,2.640,-0.051,0.212,-0.946
1636277320313,2021-11-07T11.28.40.313,2.680,-0.051,0.213,-0.945
1636277320353,2021-11-07T11.28.40.353,2.720,-0.052,0.213,-0.946
1636277320393,2021-11-07T11.28.40.393,2.760,-0.053,0.210,-0.946
1636277320433,2021-11-07T11.28.40.433,2.800,-0.054,0.211,-0.946
1636277320473,2021-11-07T11.28.40.473,2.840,-0.053,0.211,-0.946
1636277320513,2021-11-07T11.28.40.513,2.880,-0.056,0.213,-0.945
1636277320553,2021-11-07T11.28.40.553,2.920,-0.054,0.209,-0.945
1636277320593,2021-11-07T11.28.40.593,2.960,-0.054,0.213,-0.945
1636277320633,2021-11-07T11.28.40.633,3.000,-0.053,0.210,-0.947
1636277320673,2021-11-07T11.28.40.673,3.040,-0.050,0.205,-0.947
1636277320713,2021-11-07T11.28.40.713,3.080,-0.051,0.213,-0.943
1636277320753,2021-11-07T11.28.40.753,3.120,-0.048,0.200,-0.948
1636277320793,2021-11-07T11.28.40.793,3.160,-0.058,0.216,-0.946
1636277320833,2021-11-07T11.28.40.833,3.200,-0.052,0.210,-0.946
1636277320873,2021-11-07T11.28.40.873,3.240,-0.049,0.204,-0.947
1636277320913,2021-11-07T11.28.40.913,3.280,-0.053,0.212,-0.947
1636277320953,2021-11-07T11.28.40.953,3.320,-0.047,0.207,-0.946
1636277320993,2021-11-07T11.28.40.993,3.360,-0.050,0.213,-0.947
1636277321033,2021-11-07T11.28.41.033,3.400,-0.049,0.213,-0.945
1636277321073,2021-11-07T11.28.41.073,3.440,-0.043,0.209,-0.947
1636277321113,2021-11-07T11.28.41.113,3.480,-0.047,0.214,-0.944
1636277321153,2021-11-07T11.28.41.153,3.520,-0.043,0.205,-0.948
1636277321193,2021-11-07T11.28.41.193,3.560,-0.047,0.211,-0.945
1636277321233,2021-11-07T11.28.41.233,3.600,-0.042,0.212,-0.945
1636277321273,2021-11-07T11.28.41.273,3.640,-0.044,0.206,-0.947
1636277321313,2021-11-07T11.28.41.313,3.680,-0.042,0.210,-0.947
1636277321353,2021-11-07T11.28.41.353,3.720,-0.043,0.202,-0.948
1636277321393,2021-11-07T11.28.41.393,3.760,-0.041,0.206,-0.946
1636277321433,2021-11-07T11.28.41.433,3.800,-0.046,0.221,-0.943
1636277321473,2021-11-07T11.28.41.473,3.840,-0.038,0.200,-0.950
1636277321513,2021-11-07T11.28.41.513,3.880,-0.038,0.210,-0.946
1636277321553,2021-11-07T11.28.41.553,3.920,-0.037,0.208,-0.948
1636277321593,2021-11-07T11.28.41.593,3.960,-0.039,0.206,-0.949
1636277321633,2021-11-07T11.28.41.633,4.000,-0.025,0.217,-0.942
1636277321673,2021-11-07T11.28.41.673,4.040,-0.007,0.189,-0.950
1636277321713,2021-11-07T11.28.41.713,4.080,-0.024,0.190,-0.952
1636277321753,2021-11-07T11.28.41.753,4.120,-0.038,0.219,-0.944
1636277321793,2021-11-07T11.28.41.793,4.160,-0.018,0.200,-0.946
1636277321833,2021-11-07T11.28.41.833,4.200,-0.017,0.201,-0.949
1636277321873,2021-11-07T11.28.41.873,4.240,-0.019,0.215,-0.948
