epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1636617317410,2021-11-11T09.55.17.410,0.000,-0.061,0.030,0.061
1636617317450,2021-11-11T09.55.17.450,0.040,-0.366,0.579,-0.366
1636617317489,2021-11-11T09.55.17.489,0.079,-0.152,-0.549,0.061
1636617317529,2021-11-11T09.55.17.529,0.119,-0.061,-0.427,0.122
1636617317568,2021-11-11T09.55.17.568,0.158,-0.030,-0.427,0.091
1636617317608,2021-11-11T09.55.17.608,0.198,0.000,-0.366,0.122
1636617317646,2021-11-11T09.55.17.646,0.236,-0.030,-0.457,0.091
1636617317685,2021-11-11T09.55.17.685,0.275,0.000,-0.396,0.152
1636617317725,2021-11-11T09.55.17.725,0.315,-0.030,-0.457,0.061
1636617317764,2021-11-11T09.55.17.764,0.354,-0.061,-0.457,0.030
1636617317804,2021-11-11T09.55.17.804,0.394,-0.061,-0.427,0.091
1636617317844,2021-11-11T09.55.17.844,0.434,-0.030,-0.427,0.091
1636617317883,2021-11-11T09.55.17.883,0.473,-0.030,-0.396,0.091
1636617317923,2021-11-11T09.55.17.923,0.513,0.000,-0.427,0.061
1636617317961,2021-11-11T09.55.17.961,0.551,0.000,-0.366,0.091
1636617318000,2021-11-11T09.55.18.000,0.590,-0.061,-0.396,0.030
1636617318040,2021-11-11T09.55.18.040,0.630,-0.030,-0.457,0.122
1636617318079,2021-11-11T09.55.18.079,0.669,-0.091,-0.396,0.061
1636617318119,2021-11-11T09.55.18.119,0.709,0.000,-0.518,0.091
1636617318159,2021-11-11T09.55.18.159,0.749,-0.030,-0.366,0.152
1636617318198,2021-11-11T09.55.18.198,0.788,-0.030,-0.427,0.091
1636617318236,2021-11-11T09.55.18.236,0.826,0.061,-0.427,0.122
1636617318276,2021-11-11T09.55.18.276,0.866,-0.091,-0.396,0.061
1636617318315,2021-11-11T09.55.18.315,0.905,-0.030,-0.488,0.152
1636617318355,2021-11-11T09.55.18.355,0.945,-0.061,-0.335,0.091
1636617318394,2021-11-11T09.55.18.394,0.984,-0.030,-0.427,0.061
1636617318434,2021-11-11T09.55.18.434,1.024,-0.030,-0.335,0.122
1636617318473,2021-11-11T09.55.18.473,1.063,-0.030,-0.518,0.091
1636617318512,2021-11-11T09.55.18.512,1.102,-0.030,-0.274,0.122
1636617318551,2021-11-11T09.55.18.551,1.141,-0.061,-0.488,0.061
1636617318591,2021-11-11T09.55.18.591,1.181,-0.061,-0.366,0.122
1636617318630,2021-11-11T09.55.18.630,1.220,-0.061,-0.427,0.061
1636617318670,2021-11-11T09.55.18.670,1.260,-0.061,-0.427,0.091
1636617318709,2021-11-11T09.55.18.709,1.299,-0.091,-0.396,0.122
1636617318749,2021-11-11T09.55.18.749,1.339,-0.030,-0.488,0.091
1636617318788,2021-11-11T09.55.18.788,1.378,-0.030,-0.366,0.152
1636617318826,2021-11-11T09.55.18.826,1.416,-0.091,-0.427,0.061
1636617318866,2021-11-11T09.55.18.866,1.456,-0.061,-0.396,0.122
1636617318906,2021-11-11T09.55.18.906,1.496,-0.061,-0.457,0.091
1636617318945,2021-11-11T09.55.18.945,1.535,-0.030,-0.366,0.091
1636617318985,2021-11-11T09.55.18.985,1.575,-0.030,-0.457,0.061
1636617319024,2021-11-11T09.55.19.024,1.614,0.030,-0.457,0.122
1636617319064,2021-11-11T09.55.19.064,1.654,-0.030,-0.335,0.091
1636617319102,2021-11-11T09.55.19.102,1.692,-0.091,-0.457,0.091
1636617319141,2021-11-11T09.55.19.141,1.731,-0.091,-0.305,0.122
1636617319181,2021-11-11T09.55.19.181,1.771,-0.030,-0.488,0.061
