epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1633957670955,2021-10-11T16.07.50.955,0.000,-0.070,0.165,-0.944
1633957670995,2021-10-11T16.07.50.995,0.040,-0.068,0.162,-0.952
1633957671035,2021-10-11T16.07.51.035,0.080,-0.070,0.164,-0.957
1633957671075,2021-10-11T16.07.51.075,0.120,-0.069,0.167,-0.954
1633957671115,2021-10-11T16.07.51.115,0.160,-0.069,0.164,-0.952
1633957671155,2021-10-11T16.07.51.155,0.200,-0.071,0.163,-0.953
1633957671195,2021-10-11T16.07.51.195,0.240,-0.073,0.167,-0.953
1633957671235,2021-10-11T16.07.51.235,0.280,-0.072,0.170,-0.952
1633957671275,2021-10-11T16.07.51.275,0.320,-0.073,0.171,-0.954
1633957671315,2021-10-11T16.07.51.315,0.360,-0.074,0.166,-0.955
1633957671355,2021-10-11T16.07.51.355,0.400,-0.070,0.161,-0.954
1633957671395,2021-10-11T16.07.51.395,0.440,-0.072,0.164,-0.951
1633957671435,2021-10-11T16.07.51.435,0.480,-0.074,0.159,-0.958
1633957671475,2021-10-11T16.07.51.475,0.520,-0.077,0.164,-0.955
1633957671515,2021-10-11T16.07.51.515,0.560,-0.070,0.163,-0.948
1633957671555,2021-10-11T16.07.51.555,0.600,-0.069,0.171,-0.950
1633957671595,2021-10-11T16.07.51.595,0.640,-0.079,0.171,-0.960
1633957671635,2021-10-11T16.07.51.635,0.680,-0.080,0.164,-0.959
1633957671675,2021-10-11T16.07.51.675,0.720,-0.073,0.162,-0.949
1633957671715,2021-10-11T16.07.51.715,0.760,-0.072,0.161,-0.949
1633957671755,2021-10-11T16.07.51.755,0.800,-0.077,0.164,-0.957
1633957671795,2021-10-11T16.07.51.795,0.840,-0.074,0.167,-0.955
1633957671835,2021-10-11T16.07.51.835,0.880,-0.066,0.164,-0.946
1633957671875,2021-10-11T16.07.51.875,0.920,-0.075,0.168,-0.952
1633957671915,2021-10-11T16.07.51.915,0.960,-0.081,0.172,-0.957
1633957671955,2021-10-11T16.07.51.955,1.000,-0.073,0.165,-0.952
1633957671995,2021-10-11T16.07.51.995,1.040,-0.070,0.162,-0.950
1633957672035,2021-10-11T16.07.52.035,1.080,-0.076,0.162,-0.956
1633957672075,2021-10-11T16.07.52.075,1.120,-0.075,0.158,-0.958
1633957672115,2021-10-11T16.07.52.115,1.160,-0.073,0.167,-0.948
1633957672155,2021-10-11T16.07.52.155,1.200,-0.076,0.168,-0.948
1633957672195,2021-10-11T16.07.52.195,1.240,-0.081,0.168,-0.955
1633957672235,2021-10-11T16.07.52.235,1.280,-0.080,0.162,-0.958
1633957672275,2021-10-11T16.07.52.275,1.320,-0.072,0.163,-0.950
1633957672315,2021-10-11T16.07.52.315,1.360,-0.070,0.169,-0.956
1633957672355,2021-10-11T16.07.52.355,1.400,-0.084,0.169,-1.000
1633957672395,2021-10-11T16.07.52.395,1.440,-0.108,0.165,-1.004
1633957672435,2021-10-11T16.07.52.435,1.480,-0.105,0.146,-0.976
1633957672475,2021-10-11T16.07.52.475,1.520,-0.110,0.165,-0.969
1633957672515,2021-10-11T16.07.52.515,1.560,-0.130,0.209,-0.991
1633957672555,2021-10-11T16.07.52.555,1.600,-0.124,0.213,-1.005
1633957672595,2021-10-11T16.07.52.595,1.640,-0.126,0.152,-1.067
1633957672635,2021-10-11T16.07.52.635,1.680,-0.204,0.076,-1.076
1633957672675,2021-10-11T16.07.52.675,1.720,-0.214,0.099,-0.955
1633957672715,2021-10-11T16.07.52.715,1.760,-0.084,0.062,-0.873
1633957672755,2021-10-11T16.07.52.755,1.800,-0.016,0.054,-0.841
1633957672795,2021-10-11T16.07.52.795,1.840,0.001,0.078,-0.890
1633957672835,2021-10-11T16.07.52.835,1.880,-0.026,0.042,-0.950
1633957672875,2021-10-11T16.07.52.875,1.920,-0.031,0.043,-0.956
1633957672915,2021-10-11T16.07.52.915,1.960,-0.021,0.025,-0.950
1633957672955,2021-10-11T16.07.52.955,2.000,0.001,0.036,-0.947
1633957672995,2021-10-11T16.07.52.995,2.040,0.049,0.049,-1.005
1633957673035,2021-10-11T16.07.53.035,2.080,0.074,0.075,-1.042
1633957673075,2021-10-11T16.07.53.075,2.120,0.058,0.100,-1.040
1633957673115,2021-10-11T16.07.53.115,2.160,0.022,0.154,-1.073
1633957673155,2021-10-11T16.07.53.155,2.200,0.011,0.161,-1.097
1633957673195,2021-10-11T16.07.53.195,2.240,0.007,0.097,-1.068
