epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1633954699641,2021-10-11T15.18.19.641,0.000,1.098,0.701,0.457
1633954699651,2021-10-11T15.18.19.651,0.010,0.854,0.518,0.427
1633954699661,2021-10-11T15.18.19.661,0.020,-0.305,0.549,0.244
1633954699671,2021-10-11T15.18.19.671,0.030,-1.433,0.305,0.305
1633954699681,2021-10-11T15.18.19.681,0.040,-1.463,-0.183,0.549
1633954699691,2021-10-11T15.18.19.691,0.050,0.244,0.030,0.762
1633954699701,2021-10-11T15.18.19.701,0.060,2.530,0.244,0.762
1633954699711,2021-10-11T15.18.19.711,0.070,2.561,0.152,0.701
1633954699721,2021-10-11T15.18.19.721,0.080,1.829,0.122,0.549
1633954699731,2021-10-11T15.18.19.731,0.090,0.610,-0.244,0.488
1633954699741,2021-10-11T15.18.19.741,0.100,-0.122,-0.762,0.213
1633954699751,2021-10-11T15.18.19.751,0.110,0.854,-0.427,-0.152
1633954699761,2021-10-11T15.18.19.761,0.120,1.738,0.335,-0.427
1633954699771,2021-10-11T15.18.19.771,0.130,0.762,0.274,-0.396
1633954699781,2021-10-11T15.18.19.781,0.140,-0.671,-0.030,-0.305
1633954699791,2021-10-11T15.18.19.791,0.150,-1.220,0.152,-0.305
1633954699801,2021-10-11T15.18.19.801,0.160,-0.671,0.061,-0.366
1633954699811,2021-10-11T15.18.19.811,0.170,0.335,-0.457,-0.396
1633954699821,2021-10-11T15.18.19.821,0.180,0.915,-0.915,-0.579
1633954699831,2021-10-11T15.18.19.831,0.190,1.006,-1.220,-0.640
1633954699841,2021-10-11T15.18.19.841,0.200,0.213,-1.311,-0.945
1633954699851,2021-10-11T15.18.19.851,0.210,-1.159,-1.829,-0.945
1633954699861,2021-10-11T15.18.19.861,0.220,-1.433,-1.829,-0.488
1633954699871,2021-10-11T15.18.19.871,0.230,-0.335,-0.945,-0.366
1633954699881,2021-10-11T15.18.19.881,0.240,0.396,0.000,-0.213
1633954699891,2021-10-11T15.18.19.891,0.250,-0.274,0.549,0.091
1633954699901,2021-10-11T15.18.19.901,0.260,-0.244,1.585,0.366
1633954699911,2021-10-11T15.18.19.911,0.270,-0.396,2.439,0.457
1633954699921,2021-10-11T15.18.19.921,0.280,-0.823,2.287,0.640
1633954699931,2021-10-11T15.18.19.931,0.290,-0.884,1.433,0.854
1633954699941,2021-10-11T15.18.19.941,0.300,-0.396,0.610,1.311
1633954699951,2021-10-11T15.18.19.951,0.310,0.244,0.000,1.555
1633954699961,2021-10-11T15.18.19.961,0.320,0.701,-0.274,1.921
1633954699971,2021-10-11T15.18.19.971,0.330,0.976,0.030,2.012
1633954699981,2021-10-11T15.18.19.981,0.340,0.579,0.000,2.317
1633954699991,2021-10-11T15.18.19.991,0.350,0.000,-0.396,2.500
1633954700001,2021-10-11T15.18.20.001,0.360,0.976,0.274,2.713
1633954700011,2021-10-11T15.18.20.011,0.370,3.415,1.616,2.957
1633954700021,2021-10-11T15.18.20.021,0.380,3.079,1.860,2.683
1633954700031,2021-10-11T15.18.20.031,0.390,0.793,1.738,2.226
1633954700041,2021-10-11T15.18.20.041,0.400,-0.823,1.738,1.768
1633954700051,2021-10-11T15.18.20.051,0.410,-1.677,1.341,1.372
1633954700061,2021-10-11T15.18.20.061,0.420,-1.189,1.128,1.555
1633954700071,2021-10-11T15.18.20.071,0.430,0.000,0.915,1.433
1633954700081,2021-10-11T15.18.20.081,0.440,1.585,1.067,1.402
1633954700091,2021-10-11T15.18.20.091,0.450,3.171,1.402,1.280
1633954700101,2021-10-11T15.18.20.101,0.460,2.165,1.098,1.128
1633954700111,2021-10-11T15.18.20.111,0.470,0.305,0.793,0.854
1633954700121,2021-10-11T15.18.20.121,0.480,0.640,1.494,-0.244
1633954700131,2021-10-11T15.18.20.131,0.490,0.640,1.982,0.213
1633954700141,2021-10-11T15.18.20.141,0.500,-0.427,1.067,0.640
1633954700151,2021-10-11T15.18.20.151,0.510,-1.677,0.396,0.305
1633954700161,2021-10-11T15.18.20.161,0.520,-1.067,0.610,0.396
1633954700171,2021-10-11T15.18.20.171,0.530,1.128,1.463,0.579
1633954700181,2021-10-11T15.18.20.181,0.540,2.835,2.165,0.549
1633954700191,2021-10-11T15.18.20.191,0.550,2.561,2.043,0.427
1633954700201,2021-10-11T15.18.20.201,0.560,1.707,1.585,0.427
1633954700211,2021-10-11T15.18.20.211,0.570,0.945,0.854,0.213
1633954700221,2021-10-11T15.18.20.221,0.580,0.396,-0.396,0.061
1633954700231,2021-10-11T15.18.20.231,0.590,-0.122,-1.951,0.030
1633954700241,2021-10-11T15.18.20.241,0.600,-0.701,-3.293,0.000
1633954700251,2021-10-11T15.18.20.251,0.610,-0.854,-3.567,-0.244
1633954700261,2021-10-11T15.18.20.261,0.620,-0.213,-3.079,-0.305
1633954700271,2021-10-11T15.18.20.271,0.630,1.616,-2.134,-0.152
1633954700281,2021-10-11T15.18.20.281,0.640,4.024,-0.305,-0.366
1633954700291,2021-10-11T15.18.20.291,0.650,4.634,0.823,-0.610
1633954700301,2021-10-11T15.18.20.301,0.660,3.262,1.098,-1.128
1633954700311,2021-10-11T15.18.20.311,0.670,2.561,1.189,-1.707
1633954700321,2021-10-11T15.18.20.321,0.680,2.226,0.732,-2.226
1633954700331,2021-10-11T15.18.20.331,0.690,0.793,-0.030,-2.561
1633954700341,2021-10-11T15.18.20.341,0.700,-1.006,-0.732,-2.744
1633954700351,2021-10-11T15.18.20.351,0.710,-0.671,-0.823,-2.683
1633954700361,2021-10-11T15.18.20.361,0.720,0.213,-0.274,-2.439
1633954700371,2021-10-11T15.18.20.371,0.730,-0.061,-0.030,-2.226
1633954700381,2021-10-11T15.18.20.381,0.740,-0.945,0.000,-1.677
1633954700391,2021-10-11T15.18.20.391,0.750,-1.402,0.244,-1.646
1633954700401,2021-10-11T15.18.20.401,0.760,-1.890,0.274,-1.738
1633954700411,2021-10-11T15.18.20.411,0.770,-2.835,0.335,-1.311
1633954700421,2021-10-11T15.18.20.421,0.780,-2.896,0.549,-1.098
1633954700431,2021-10-11T15.18.20.431,0.790,-1.189,1.037,-0.610
1633954700441,2021-10-11T15.18.20.441,0.800,1.280,1.037,0.000
1633954700451,2021-10-11T15.18.20.451,0.810,1.768,0.884,0.183
1633954700461,2021-10-11T15.18.20.461,0.820,1.220,0.610,0.549
1633954700471,2021-10-11T15.18.20.471,0.830,1.982,-0.030,1.402
1633954700481,2021-10-11T15.18.20.481,0.840,2.866,-0.518,1.829
1633954700491,2021-10-11T15.18.20.491,0.850,1.524,-0.488,2.012
1633954700501,2021-10-11T15.18.20.501,0.860,0.122,-0.091,2.409
1633954700511,2021-10-11T15.18.20.511,0.870,0.274,0.213,2.652
1633954700521,2021-10-11T15.18.20.521,0.880,0.793,0.000,2.988
1633954700531,2021-10-11T15.18.20.531,0.890,0.366,-0.366,3.201
1633954700541,2021-10-11T15.18.20.541,0.900,-0.671,-0.732,3.018
1633954700551,2021-10-11T15.18.20.551,0.910,-0.061,-1.220,2.957
1633954700561,2021-10-11T15.18.20.561,0.920,2.439,-1.037,3.567
1633954700571,2021-10-11T15.18.20.571,0.930,4.878,-0.122,3.506
1633954700581,2021-10-11T15.18.20.581,0.940,4.787,0.427,2.896
1633954700591,2021-10-11T15.18.20.591,0.950,2.866,0.518,2.530
1633954700601,2021-10-11T15.18.20.601,0.960,0.976,0.244,2.165
1633954700611,2021-10-11T15.18.20.611,0.970,-0.762,0.030,1.677
1633954700621,2021-10-11T15.18.20.621,0.980,-1.982,-0.091,1.067
1633954700631,2021-10-11T15.18.20.631,0.990,-3.293,-0.457,0.579
1633954700641,2021-10-11T15.18.20.641,1.000,-3.171,-0.305,0.335
1633954700651,2021-10-11T15.18.20.651,1.010,0.122,0.793,0.335
1633954700661,2021-10-11T15.18.20.661,1.020,2.683,2.073,0.457
1633954700671,2021-10-11T15.18.20.671,1.030,2.195,2.805,0.274
1633954700681,2021-10-11T15.18.20.681,1.040,0.091,2.561,-0.061
1633954700691,2021-10-11T15.18.20.691,1.050,-1.707,1.707,-0.244
1633954700701,2021-10-11T15.18.20.701,1.060,-2.713,1.067,-0.457
1633954700711,2021-10-11T15.18.20.711,1.070,-2.805,0.396,-0.823
1633954700721,2021-10-11T15.18.20.721,1.080,-3.171,-0.366,-0.518
1633954700731,2021-10-11T15.18.20.731,1.090,-3.963,-1.280,-0.488
1633954700741,2021-10-11T15.18.20.741,1.100,-0.518,-0.884,0.000
1633954700751,2021-10-11T15.18.20.751,1.110,3.537,0.122,-0.122
1633954700761,2021-10-11T15.18.20.761,1.120,3.140,0.671,-0.335
